Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
0,5.57974267,1.609394312,0.9715625,0.960455362,0.984643735,0.972399151,0.997294695,0.971859948,0.9715625,0.971551445
1,5.304968596,0.927075148,0.9759375,0.965558195,0.988449848,0.976869931,0.997920674,0.976204514,0.9759375,0.975925659
2,4.322802067,0.965529919,0.97,0.948255114,0.99369483,0.97044335,0.997875686,0.97107452,0.97,0.96998931
3,5.090132713,1.15409565,0.9728125,0.9566787,0.990654206,0.973370064,0.997863647,0.973410437,0.9728125,0.972802356
4,4.418580055,0.985435247,0.9740625,0.958029197,0.991189427,0.97432725,0.997656746,0.97462923,0.9740625,0.974057902
5,4.767511606,1.197967529,0.9734375,0.961165049,0.986915888,0.973870274,0.99724482,0.973777523,0.9734375,0.973431587
6,5.581382751,1.616025448,0.96875,0.951322115,0.988139825,0.969381506,0.998084694,0.969453469,0.96875,0.968737507
7,5.749307394,1.556634188,0.9740625,0.961147639,0.988929889,0.974840861,0.997614156,0.97446001,0.9740625,0.974050703
8,4.377531767,0.906576395,0.975,0.958229426,0.991612903,0.974635384,0.997589535,0.975567425,0.975,0.975006066
9,5.071874142,0.904119968,0.9715625,0.954882571,0.988483685,0.971392644,0.996583871,0.972142396,0.9715625,0.971565402

SVM,,,,,,,,,,
0,58.160244941711426,4.254883527755737,0.9771875,0.9802347127856702,0.9748157248157249,0.9775177086541423,0.9969808011877925,0.9772048465623473,0.9771875,0.9771884425556258
1,64.85297274589539,4.811289310455322,0.975,0.9803560466543892,0.9708206686930091,0.9755650580329871,0.9970698959153854,0.9750545491702547,0.975,0.9750028921716338
2,69.92874097824097,4.79028582572937,0.9809375,0.9810725552050473,0.980453972257251,0.9807631661936297,0.9979636511810137,0.980937583625514,0.9809375,0.9809374460099701
3,56.07393670082092,4.3207714557647705,0.97875,0.9776258545680547,0.9800623052959502,0.9788425637834475,0.997623760061944,0.9787528262612998,0.97875,0.9787498837868381
4,62.30007076263428,4.885541915893555,0.9815625,0.9835651074589128,0.9792322215229704,0.9813938820561336,0.9982520045527257,0.9815711639383266,0.9815625,0.9815621344609454
5,66.74466848373413,5.239974021911621,0.9796875,0.9818523153942428,0.9775700934579439,0.9797065251326881,0.9977248390164851,0.9796969592432956,0.9796875,0.9796875416565308
6,63.84059119224548,6.035122632980347,0.98125,0.9836888331242158,0.978776529338327,0.981226533166458,0.9976736647877062,0.9812621486083398,0.98125,0.9812499414061584
7,71.20066332817078,4.844356060028076,0.9815625,0.983940704138357,0.9797047970479705,0.9818181818181818,0.9977888457089781,0.9815730296830921,0.9815625,0.9815630672813717
8,59.72251009941101,5.232336759567261,0.9815625,0.9844054580896686,0.9774193548387097,0.9808999676270638,0.9972500643145927,0.9815813275370177,0.9815625,0.981560298895771
9,68.59040784835815,4.695266246795654,0.9790625,0.9801026957637997,0.9769673704414588,0.9785325216276834,0.997393167220039,0.979065667465785,0.9790625,0.9790616918597556

RandomForest,,,,,,,,,,
0,340.63436007499695,8.642530679702759,0.955625,0.9508495145631068,0.9625307125307125,0.9566544566544567,0.9939513172995038,0.9556865397607848,0.955625,0.9556184093684094
1,310.408816576004,8.193681478500366,0.9565625,0.9569174757281553,0.9586626139817629,0.9577892499240813,0.9931236268712137,0.956561813835577,0.9565625,0.9565613154973375
2,310.5007116794586,5.798657417297363,0.96,0.9511138613861386,0.9691046658259773,0.9600249843847595,0.9944989468179006,0.960168298079808,0.96,0.9599997656249084
3,297.0318126678467,6.591341018676758,0.959375,0.950519242516799,0.9694704049844237,0.9599012954966072,0.9945782687394031,0.9595563078947297,0.959375,0.9593696670500661
4,254.41031122207642,8.072319984436035,0.9578125,0.9504337050805453,0.9653870358716173,0.9578520137371215,0.9942851410727326,0.9579288113953257,0.9578125,0.95781219100925
5,309.1235647201538,6.190665006637573,0.958125,0.9509503372164316,0.9663551401869159,0.9585908529048207,0.9942499724472775,0.9582438917988355,0.958125,0.9581211718787845
6,317.0883331298828,7.35818338394165,0.964375,0.957002457002457,0.9725343320848939,0.9647058823529412,0.9950983250602415,0.9644969377340561,0.964375,0.9643722861384302
7,319.47494411468506,10.397047519683838,0.96125,0.9557038834951457,0.9686346863468634,0.9621258399511301,0.9945505069143906,0.9613286176308677,0.96125,0.9612438360592052
8,305.98501777648926,6.606703996658325,0.965,0.9579617834394905,0.9703225806451613,0.964102564102564,0.9945156077701139,0.965086358485405,0.965,0.9650054721701062
9,304.7595052719116,7.3978447914123535,0.9615625,0.9539722572509458,0.9680102367242482,0.9609399809463323,0.9931804590264437,0.9616706633105503,0.9615625,0.9615669041643292

Scenario 2,,,,,,,,,,
NaiveBayes,,,,,,,,,,
0,15.101269245147705,2.6035964488983154,0.9734375,0.9650391802290537,0.9834152334152334,0.9741405536963796,0.9967335278026552,0.9736064473802071,0.9734375,0.9734304988228115
1,12.079208374023438,2.4336342811584473,0.9759375,0.9694610778443113,0.98419452887538,0.9767722473604826,0.9976300009190802,0.9760433238914328,0.9759375,0.9759307354346799
2,10.337370872497559,2.273972749710083,0.97,0.9531630170316302,0.9880201765447667,0.9702786377708978,0.9976038454679801,0.9706275996222143,0.97,0.9699949018956744
3,10.992049217224121,2.5704076290130615,0.9715625,0.9593446601941747,0.9850467289719627,0.9720258223178605,0.9975231035208236,0.9719010097368883,0.9715625,0.9715561692533626
4,11.08380913734436,3.15637469291687,0.9703125,0.9549330085261876,0.986784140969163,0.9705973382853607,0.99730267138784,0.9708356791066188,0.9703125,0.9703077362167485
5,11.47534966468811,2.720587730407715,0.9721875,0.9621951219512195,0.983177570093458,0.972573189522342,0.9971190835957165,0.9724116879690431,0.9721875,0.97218322135236
6,11.437195539474487,2.2003793716430664,0.973125,0.9610705596107056,0.9862671660424469,0.973505853357979,0.99790284808691,0.973450376925675,0.973125,0.9731199283953598
7,11.319322347640991,2.821913719177246,0.97125,0.958732057416268,0.9858548585485855,0.9721043056397817,0.9972838540310787,0.9716268490568402,0.97125,0.9712373313799386
8,11.954458713531494,3.6660678386688232,0.9759375,0.9600249843847595,0.9916129032258064,0.9755633132338941,0.9969855291828148,0.9764450286406361,0.9759375,0.9759433736611485
9,15.40423035621643,2.651503801345825,0.97,0.9553072625698324,0.9846449136276392,0.9697542533081286,0.9961379016665104,0.9704438334780667,0.97,0.9700036564913855

SVM,,,,,,,,,,
0,56.34389638900757,7.565485715866089,0.976875,0.9820099255583127,0.9723587223587223,0.9771604938271605,0.99657961305435,0.9769267372852224,0.976875,0.9768764455383655
1,64.2009928226471,5.241498708724976,0.976875,0.9827904118008605,0.9720364741641337,0.9773838630806846,0.9968378953746613,0.9769426906626926,0.976875,0.976877928240234
