Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
0,5.57974267,1.609394312,0.9715625,0.960455362,0.984643735,0.972399151,0.997294695,0.971859948,0.9715625,0.971551445
1,5.304968596,0.927075148,0.9759375,0.965558195,0.988449848,0.976869931,0.997920674,0.976204514,0.9759375,0.975925659
2,4.322802067,0.965529919,0.97,0.948255114,0.99369483,0.97044335,0.997875686,0.97107452,0.97,0.96998931
3,5.090132713,1.15409565,0.9728125,0.9566787,0.990654206,0.973370064,0.997863647,0.973410437,0.9728125,0.972802356
4,4.418580055,0.985435247,0.9740625,0.958029197,0.991189427,0.97432725,0.997656746,0.97462923,0.9740625,0.974057902
5,4.767511606,1.197967529,0.9734375,0.961165049,0.986915888,0.973870274,0.99724482,0.973777523,0.9734375,0.973431587
6,5.581382751,1.616025448,0.96875,0.951322115,0.988139825,0.969381506,0.998084694,0.969453469,0.96875,0.968737507
7,5.749307394,1.556634188,0.9740625,0.961147639,0.988929889,0.974840861,0.997614156,0.97446001,0.9740625,0.974050703
8,4.377531767,0.906576395,0.975,0.958229426,0.991612903,0.974635384,0.997589535,0.975567425,0.975,0.975006066
9,5.071874142,0.904119968,0.9715625,0.954882571,0.988483685,0.971392644,0.996583871,0.972142396,0.9715625,0.971565402
,50.26383376,,0.97271875,0.957572337,0.989271424,0.973153042,,,,
SVM,,,,,,,,,,
0,58.16024494,4.254883528,0.9771875,0.980234713,0.974815725,0.977517709,0.996980801,0.977204847,0.9771875,0.977188443
1,64.85297275,4.81128931,0.975,0.980356047,0.970820669,0.975565058,0.997069896,0.975054549,0.975,0.975002892
2,69.92874098,4.790285826,0.9809375,0.981072555,0.980453972,0.980763166,0.997963651,0.980937584,0.9809375,0.980937446
3,56.0739367,4.320771456,0.97875,0.977625855,0.980062305,0.978842564,0.99762376,0.978752826,0.97875,0.978749884
4,62.30007076,4.885541916,0.9815625,0.983565107,0.979232222,0.981393882,0.998252005,0.981571164,0.9815625,0.981562134
5,66.74466848,5.239974022,0.9796875,0.981852315,0.977570093,0.979706525,0.997724839,0.979696959,0.9796875,0.979687542
6,63.84059119,6.035122633,0.98125,0.983688833,0.978776529,0.981226533,0.997673665,0.981262149,0.98125,0.981249941
7,71.20066333,4.84435606,0.9815625,0.983940704,0.979704797,0.981818182,0.997788846,0.98157303,0.9815625,0.981563067
8,59.7225101,5.23233676,0.9815625,0.984405458,0.977419355,0.980899968,0.997250064,0.981581328,0.9815625,0.981560299
9,68.59040785,4.695266247,0.9790625,0.980102696,0.97696737,0.978532522,0.997393167,0.979065667,0.9790625,0.979061692
,641.4148071,,0.97965625,0.981684428,0.977582304,0.979626611,,,,
RandomForest,,,,,,,,,,
0,340.6343601,8.64253068,0.955625,0.950849515,0.962530713,0.956654457,0.993951317,0.95568654,0.955625,0.955618409
1,310.4088166,8.193681479,0.9565625,0.956917476,0.958662614,0.95778925,0.993123627,0.956561814,0.9565625,0.956561315
2,310.5007117,5.798657417,0.96,0.951113861,0.969104666,0.960024984,0.994498947,0.960168298,0.96,0.959999766
3,297.0318127,6.591341019,0.959375,0.950519243,0.969470405,0.959901295,0.994578269,0.959556308,0.959375,0.959369667
4,254.4103112,8.072319984,0.9578125,0.950433705,0.965387036,0.957852014,0.994285141,0.957928811,0.9578125,0.957812191
5,309.1235647,6.190665007,0.958125,0.950950337,0.96635514,0.958590853,0.994249972,0.958243892,0.958125,0.958121172
6,317.0883331,7.358183384,0.964375,0.957002457,0.972534332,0.964705882,0.995098325,0.964496938,0.964375,0.964372286
7,319.4749441,10.39704752,0.96125,0.955703883,0.968634686,0.96212584,0.994550507,0.961328618,0.96125,0.961243836
8,305.9850178,6.606703997,0.965,0.957961783,0.970322581,0.964102564,0.994515608,0.965086358,0.965,0.965005472
9,304.7595053,7.397844791,0.9615625,0.953972257,0.968010237,0.960939981,0.993180459,0.961670663,0.9615625,0.961566904
,3069.417377,,0.95996875,0.953542452,0.967101241,0.960268712,,,,
LogisticRegression,,,,,,,,,,
0,4.43718338,0.857707024,0.9678125,0.980466289,0.955773956,0.967962675,0.995017613,0.96813414,0.9678125,0.967814433
1,4.37206459,0.889619589,0.9659375,0.981203008,0.951975684,0.966368405,0.995286981,0.96640384,0.9659375,0.965944184
2,4.50873065,0.838726997,0.97375,0.983268983,0.963430013,0.973248408,0.996211077,0.973935059,0.97375,0.973745076
3,4.032655478,0.831807375,0.969375,0.979020979,0.959501558,0.969162996,0.996338095,0.969564718,0.969375,0.969372894
4,4.375540257,0.826792002,0.9721875,0.982005141,0.961611076,0.971701113,0.99630927,0.972384569,0.9721875,0.972182569
5,4.161131382,0.856708527,0.9725,0.985284709,0.959501558,0.972222222,0.995563973,0.972828013,0.9725,0.97249639
6,4.519448996,0.858737707,0.9725,0.981552163,0.963171036,0.972274732,0.996622984,0.972666809,0.9725,0.972497905
7,4.210911512,0.865678549,0.9728125,0.984266834,0.961869619,0.972939347,0.99694259,0.973075573,0.9728125,0.972813974
8,4.121915579,0.871672153,0.9721875,0.979645437,0.962580645,0.971038074,0.996288224,0.972307574,0.9721875,0.972178172
9,4.245837212,0.89161849,0.9709375,0.977893368,0.962252079,0.970009674,0.995689848,0.971042131,0.9709375,0.970930469
,42.98541904,,0.971,0.981460691,0.960166722,0.970692764,,,,
Scenario 2,,,,,,,,,,
NaiveBayes,,,,,,,,,,
0,15.10126925,2.603596449,0.9734375,0.96503918,0.983415233,0.974140554,0.996733528,0.973606447,0.9734375,0.973430499
1,12.07920837,2.433634281,0.9759375,0.969461078,0.984194529,0.976772247,0.997630001,0.976043324,0.9759375,0.975930735
2,10.33737087,2.27397275,0.97,0.953163017,0.988020177,0.970278638,0.997603845,0.9706276,0.97,0.969994902
3,10.99204922,2.570407629,0.9715625,0.95934466,0.985046729,0.972025822,0.997523104,0.97190101,0.9715625,0.971556169
4,11.08380914,3.156374693,0.9703125,0.954933009,0.986784141,0.970597338,0.997302671,0.970835679,0.9703125,0.970307736
5,11.47534966,2.72058773,0.9721875,0.962195122,0.98317757,0.97257319,0.997119084,0.972411688,0.9721875,0.972183221
6,11.43719554,2.200379372,0.973125,0.96107056,0.986267166,0.973505853,0.997902848,0.973450377,0.973125,0.973119928
7,11.31932235,2.821913719,0.97125,0.958732057,0.985854859,0.972104306,0.997283854,0.971626849,0.97125,0.971237331
8,11.95445871,3.666067839,0.9759375,0.960024984,0.991612903,0.975563313,0.996985529,0.976445029,0.9759375,0.975943374
9,15.40423036,2.651503801,0.97,0.955307263,0.984644914,0.969754253,0.996137902,0.970443833,0.97,0.970003656
,121.1842635,,0.972375,0.959927093,0.985901822,0.972731551,,,,
SVM,,,,,,,,,,
