Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
0,0.5060110092163086,0.26494646072387695,0.893305439330544,0.9473684210526315,0.7411764705882353,0.8316831683168316,0.957303413086403,0.8991034982398692,0.893305439330544,0.8898138251995985
1,0.5325791835784912,0.28730034828186035,0.9079497907949791,0.968,0.7515527950310559,0.8461538461538461,0.9481687798357239,0.9140738914504486,0.9079497907949791,0.904629411679933
2,0.4804360866546631,0.22745776176452637,0.9288702928870293,0.9855072463768116,0.8095238095238095,0.8888888888888888,0.964516108337593,0.9338676711361277,0.9288702928870293,0.9270249973178843
3,0.5370950698852539,0.25000691413879395,0.895397489539749,0.9264705882352942,0.7590361445783133,0.8344370860927153,0.946538288087346,0.8981231999516389,0.895397489539749,0.8926011407577749
4,0.5219907760620117,0.25293898582458496,0.9058577405857741,0.9487179487179487,0.74,0.8314606741573033,0.9341775684802653,0.9097757097502112,0.9058577405857741,0.90229445583666

SVM,,,,,,,,,,
0,1.5244503021240234,0.7525920867919922,0.9267782426778243,0.9354838709677419,0.8529411764705882,0.8923076923076922,0.955112087434553,0.9271825288213188,0.9267782426778243,0.9259588159653804
1,1.1503188610076904,0.48231077194213867,0.9163179916317992,0.9115646258503401,0.8322981366459627,0.8701298701298701,0.9438330963538927,0.9161169429280517,0.9163179916317992,0.9153201001178687
2,0.918245792388916,0.3386049270629883,0.9330543933054394,0.9,0.9107142857142857,0.9053254437869822,0.9673912711633682,0.9332690322230072,0.9330543933054394,0.9331441310061463
3,0.7136116027832031,0.3217582702636719,0.9079497907949791,0.9066666666666666,0.8192771084337349,0.8607594936708859,0.9339345379124071,0.9078871993740858,0.9079497907949791,0.9067700333668768
4,0.7398858070373535,0.3341481685638428,0.9100418410041841,0.8905109489051095,0.8133333333333334,0.8501742160278746,0.9206923475869186,0.9092972615399965,0.9100418410041841,0.9088784940315503

RandomForest,,,,,,,,,,
0,8.494102239608765,0.7031915187835693,0.9058577405857741,0.8834355828220859,0.8470588235294118,0.864864864864865,0.9451967013073586,0.9053594704132476,0.9058577405857741,0.9053971464765506
1,7.6772754192352295,0.7206807136535645,0.897489539748954,0.8589743589743589,0.8322981366459627,0.8454258675078864,0.9201446718561934,0.8968914779356838,0.897489539748954,0.8970821557721068
2,8.047009468078613,0.6734573841094971,0.9246861924686193,0.888235294117647,0.8988095238095238,0.893491124260355,0.954722928916908,0.9249228866137553,0.9246861924686193,0.9247871473819147
3,6.965581178665161,0.6382951736450195,0.893305439330544,0.8709677419354839,0.8132530120481928,0.8411214953271028,0.9222106070761747,0.89254471279387,0.893305439330544,0.8924014654974134
4,7.676249742507935,0.8751261234283447,0.8849372384937239,0.8321678321678322,0.7933333333333333,0.8122866894197952,0.9022894905209706,0.8838345941824366,0.8849372384937239,0.8841701889559901

LogisticRegression,,,,,,,,,,
