Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
0,0.506011009,0.264946461,0.893305439,0.947368421,0.741176471,0.831683168,0.957303413,0.899103498,0.893305439,0.889813825
1,0.532579184,0.287300348,0.907949791,0.968,0.751552795,0.846153846,0.94816878,0.914073891,0.907949791,0.904629412
2,0.480436087,0.227457762,0.928870293,0.985507246,0.80952381,0.888888889,0.964516108,0.933867671,0.928870293,0.927024997
3,0.53709507,0.250006914,0.89539749,0.926470588,0.759036145,0.834437086,0.946538288,0.8981232,0.89539749,0.892601141
4,0.521990776,0.252938986,0.905857741,0.948717949,0.74,0.831460674,0.934177568,0.90977571,0.905857741,0.902294456
,2.578112126,,0.906276151,0.955212841,0.760257844,0.846524733,,,,
SVM,,,,,,,,,,
0,1.524450302,0.752592087,0.926778243,0.935483871,0.852941176,0.892307692,0.955112087,0.927182529,0.926778243,0.925958816
1,1.150318861,0.482310772,0.916317992,0.911564626,0.832298137,0.87012987,0.943833096,0.916116943,0.916317992,0.9153201
2,0.918245792,0.338604927,0.933054393,0.9,0.910714286,0.905325444,0.967391271,0.933269032,0.933054393,0.933144131
3,0.713611603,0.32175827,0.907949791,0.906666667,0.819277108,0.860759494,0.933934538,0.907887199,0.907949791,0.906770033
4,0.739885807,0.334148169,0.910041841,0.890510949,0.813333333,0.850174216,0.920692348,0.909297262,0.910041841,0.908878494
,5.046512365,,0.918828452,0.908845222,0.845712808,0.875739343,,,,
RandomForest,,,,,,,,,,
0,8.49410224,0.703191519,0.905857741,0.883435583,0.847058824,0.864864865,0.945196701,0.90535947,0.905857741,0.905397146
1,7.677275419,0.720680714,0.89748954,0.858974359,0.832298137,0.845425868,0.920144672,0.896891478,0.89748954,0.897082156
2,8.047009468,0.673457384,0.924686192,0.888235294,0.898809524,0.893491124,0.954722929,0.924922887,0.924686192,0.924787147
3,6.965581179,0.638295174,0.893305439,0.870967742,0.813253012,0.841121495,0.922210607,0.892544713,0.893305439,0.892401465
4,7.676249743,0.875126123,0.884937238,0.832167832,0.793333333,0.812286689,0.902289491,0.883834594,0.884937238,0.884170189
,38.86021805,,0.90125523,0.866756162,0.836950566,0.851438008,,,,
LogisticRegression,,,,,,,,,,
0,0.367018223,0.14460969,0.887029289,0.96031746,0.711764706,0.817567568,0.948631642,0.89619031,0.887029289,0.882398507
1,0.326133013,0.152582407,0.90167364,0.959677419,0.739130435,0.835087719,0.939687628,0.907736182,0.90167364,0.898001987
2,0.371012926,0.144611359,0.924686192,0.945945946,0.833333333,0.886075949,0.963914274,0.925974662,0.924686192,0.923479622
3,0.325134516,0.145606041,0.891213389,0.919117647,0.753012048,0.82781457,0.922496511,0.893661131,0.891213389,0.888305186
4,0.329129934,0.143613338,0.884937238,0.913043478,0.7,0.79245283,0.923051736,0.887647207,0.884937238,0.880252789
,1.718428612,,0.89790795,0.93962039,0.747448104,0.831799727,,,,
,,,,,,,,,,
Scenario 2,,,,,,,,,,
NaiveBayes,,,,,,,,,,
0,1.196501493,0.437256575,0.89748954,0.961832061,0.741176471,0.837209302,0.956460083,0.90472112,0.89748954,0.893900335
1,1.029996634,0.448310852,0.89958159,0.966942149,0.726708075,0.829787234,0.943918761,0.907128992,0.89958159,0.895439492
2,0.929099798,0.473894596,0.924686192,0.97826087,0.803571429,0.882352941,0.961260693,0.92941337,0.924686192,0.92273235
3,1.013091803,0.687681913,0.89958159,0.909722222,0.789156627,0.84516129,0.948295645,0.900249536,0.89958159,0.897728267
4,0.999957561,0.459862471,0.893305439,0.923076923,0.72,0.808988764,0.93273077,0.896026932,0.893305439,0.88926705
,5.168647289,,0.90292887,0.947966845,0.75612252,0.840699906,,,,
SVM,,,,,,,,,,
0,1.215062857,0.55257535,0.939330544,0.95483871,0.870588235,0.910769231,0.958111342,0.940050737,0.939330544,0.93865159
1,1.097232103,0.548951864,0.918410042,0.917808219,0.832298137,0.872964169,0.943668844,0.918382851,0.918410042,0.917359675
2,1.191048145,0.6263237,0.933054393,0.9,0.910714286,0.905325444,0.965109344,0.933269032,0.933054393,0.933144131
3,1.099007845,0.563493252,0.90376569,0.894736842,0.819277108,0.855345912,0.936222854,0.903377948,0.90376569,0.902703187
4,1.105399132,0.480871916,0.926778243,0.913669065,0.846666667,0.878892734,0.923820627,0.926352871,0.926778243,0.925988527
